,codcliente,ingressi_condivisi
1071,4170,0
1072,4177,7
1073,4178,0
1074,4181,0
1075,4182,3
1076,4184,3
1077,4185,18
1078,4187,3
1079,4188,17
1080,4189,15
1081,4193,7
1082,4200,18
1083,4204,3
1084,4207,6
1085,4208,5
1086,4209,3
1087,4215,24
1088,4218,0
1089,4231,11
1090,4236,16
1091,4245,8
1092,4247,14
1093,4251,15
1094,4253,5
1095,4257,10
1096,4260,8
1097,4262,0
1098,4264,5
1099,4265,0
1100,4266,0
1101,4269,0
1102,4271,0
1103,4272,0
1104,4273,7
1105,4274,11
1106,4275,10
1107,4278,0
1108,4279,6
1109,4286,4
1110,4287,8
1111,4288,0
1112,4292,0
1113,4294,0
1114,4305,3
1115,4310,26
1116,4312,6
1117,4317,0
1118,4320,19
1119,4329,0
1120,4334,0
1121,4335,3
1122,4340,6
1123,4341,6
1124,4345,8
1125,4346,5
1126,4347,4
1127,4348,3
1128,4350,4
1129,4351,20
1130,4352,17
1131,4355,6
1132,4356,0
1133,4359,4
1134,4364,7
1135,4365,4
1136,4366,3
1137,4368,0
1138,4369,5
1139,4378,3
1140,4379,26
1141,4380,7
1142,4381,5
1143,4405,0
1144,4408,3
1145,4409,5
1146,4417,4
1147,4418,12
1148,4422,0
1149,4430,0
1150,4432,3
1151,4434,0
1152,4441,6
1153,4446,15
1154,4459,4
1155,4463,0
1156,4465,10
1157,4469,4
1158,4470,5
1159,4471,0
1160,4480,0
1161,4484,3
1162,4500,8
1163,4503,3
1164,4507,10
1165,4508,16
1166,4513,0
1167,4519,22
1168,4524,15
1169,4526,11
1170,4527,13
1171,4528,0
1172,4536,15
1173,4539,12
1174,4545,11
1175,4546,0
1176,4547,0
1177,4552,0
1178,4553,8
1179,4554,5
1180,4556,0
1181,4569,0
1182,4577,3
1183,4582,0
1184,4583,15
1185,4584,27
1186,4592,7
1187,4597,6
1188,4600,23
1189,4602,5
1190,4615,4
1191,4623,7
1192,4625,8
1193,4626,11
1194,4628,6
1195,4636,3
1196,4641,9
1197,4645,4
1198,4652,3
1199,4653,13
1200,4661,9
1201,4665,23
1202,4667,5
1203,4671,5
1204,4672,13
1205,4675,4
1206,4676,0
1207,4678,12
1208,4680,0
1209,4681,0
1210,4686,12
1211,4688,14
1212,4691,3
1213,4695,8
1214,4697,5
1215,4702,6
1216,4707,0
1217,4708,3
1218,4710,9
1219,4713,7
1220,4716,3
1221,4719,8
1222,4721,3
1223,4744,12
1224,4755,11
1225,4757,3
1226,4761,5
1227,4769,5
1228,4773,4
1229,4790,5
1230,4798,11
1231,4806,0
1232,4808,0
1233,4809,5
1234,4813,3
1235,4824,0
1236,4828,0
1237,4840,20
1238,4844,11
1239,4850,4
1240,4856,0
1241,4859,0
1242,4868,0
1243,4870,4
1244,4872,5
1245,4873,7
1246,4874,0
1247,4879,4
1248,4881,10
1249,4886,8
1250,4893,14
1251,4896,4
1252,4908,4
1253,4910,5
1254,4911,0
1255,4912,5
1256,4916,6
1257,4917,0
1258,4918,9
1259,4920,0
1260,4928,26
1261,4929,10
1262,4930,3
1263,4931,12
1264,4932,5
1265,4933,17
1266,4935,5
1267,4941,9
1268,4943,5
1269,4945,0
1270,4947,0
1271,4951,7
1272,4963,10
1273,4964,4
1274,4966,3
1275,4967,0
1276,4969,13
1277,4971,3
1278,4973,0
1279,4987,4
1280,4995,18
1281,4998,0
1282,5007,0
1283,5008,5
1284,5014,0
1285,5026,12
1286,5027,0
1287,5030,3
1288,5037,3
1289,5038,5
1290,5039,6
1291,5044,3
1292,5047,14
1293,5051,3
1294,5071,3
1295,5084,6
1296,5097,0
1297,5099,0
1298,5102,7
1299,5103,3
1300,5106,3
1301,5113,4
1302,5117,0
1303,5121,8
1304,5122,10
1305,5124,0
1306,5127,6
1307,5136,0
1308,5137,7
1309,5138,0
1310,5140,13
1311,5147,24
1312,5149,4
1313,5152,8
1314,5155,11
1315,5158,8
1316,5159,11
1317,5160,10
1318,5163,5
1319,5165,15
1320,5167,14
1321,5171,4
1322,5178,4
1323,5179,6
1324,5181,0
1325,5183,7
1326,5186,4
1327,5190,4
1328,5199,0
1329,5200,3
1330,5206,0
1331,5207,11
1332,5209,6
1333,5218,8
1334,5228,5
1335,5234,4
1336,5242,3
1337,5244,7
1338,5247,6
1339,5255,8
1340,5259,8
1341,5261,0
1342,5262,14
1343,5264,4
1344,5279,3
1345,5280,0
1346,5282,3
1347,5287,0
1348,5289,7
1349,5290,0
1350,5291,6
1351,5292,6
1352,5295,0
1353,5297,13
1354,5305,0
1355,5314,7
1356,5315,0
1357,5319,22
1358,5320,9
1359,5321,4
1360,5323,6
1361,5328,5
1362,5330,3
1363,5332,4
1364,5334,11
1365,5338,19
1366,5339,6
1367,5341,0
1368,5342,4
1369,5345,7
1370,5346,0
1371,5354,5
1372,5357,0
1373,5359,8
1374,5368,12
1375,5370,21
1376,5373,0
1377,5375,0
1378,5377,3
1379,5379,3
1380,5383,11
1381,5387,12
1382,5398,0
1383,5402,3
1384,5404,0
1385,5409,0
1386,5411,3
1387,5412,29
1388,5414,9
1389,5416,13
1390,5423,0
1391,5426,4
1392,5443,9
1393,5445,0
1394,5451,0
1395,5454,6
1396,5461,3
1397,5464,8
1398,5471,5
1399,5472,0
1400,5473,10
1401,5475,0
1402,5478,7
1403,5481,15
1404,5482,11
1405,5483,14
1406,5487,13
1407,5489,3
1408,5491,10
1409,5494,0
1410,5498,4
1411,5503,5
1412,5509,7
1413,5514,12
1414,5517,6
1415,5523,7
1416,5525,0
1417,5528,0
1418,5530,4
1419,5534,9
1420,5538,13
1421,5542,5
1422,5556,0
1423,5557,0
1424,5559,5
1425,5568,4
1426,5570,3
1427,5571,0
1428,5573,6
1429,5574,0
1430,5575,3
1431,5579,0
1432,5582,0
1433,5584,0
1434,5592,3
1435,5594,0
1436,5608,7
1437,5610,3
1438,5611,5
1439,5615,0
1440,5616,6
1441,5617,10
1442,5618,9
1443,5619,5
1444,5622,3
1445,5628,0
1446,5631,15
1447,5634,4
1448,5640,4
1449,5641,3
1450,5642,3
1451,5652,5
1452,5655,4
1453,5664,7
1454,5666,0
1455,5671,12
1456,5676,3
1457,5677,10
1458,5680,3
1459,5683,4
1460,5707,5
1461,5711,7
1462,5718,7
1463,5722,0
1464,5726,11
1465,5729,4
1466,5735,3
1467,5736,4
1468,5738,0
1469,5740,6
1470,5741,0
1471,5744,0
1472,5745,6
1473,5750,0
1474,5752,5
1475,5753,20
1476,5754,0
1477,5755,7
1478,5763,18
1479,5780,0
1480,5783,7
1481,5788,13
1482,5790,6
1483,5798,7
1484,5802,0
1485,5807,0
1486,5808,5
1487,5809,10
1488,5812,8
1489,5815,4
1490,5816,0
1491,5818,3
1492,5822,5
1493,5828,0
1494,5832,20
1495,5833,8
1496,5836,22
1497,5845,10
1498,5850,0
1499,5851,0
1500,5852,4
1501,5861,4
1502,5865,6
1503,5873,4
1504,5874,5
1505,5877,4
1506,5882,3
1507,5887,23
1508,5890,4
1509,5892,7
1510,5894,12
1511,5899,23
1512,5902,0
1513,5903,4
1514,5915,5
1515,5919,0
1516,5924,3
1517,5937,6
1518,5938,5
1519,5947,8
1520,5948,0
1521,5950,0
1522,5952,4
1523,5958,6
1524,5964,3
1525,5967,7
1526,5970,4
1527,5975,3
1528,5977,7
1529,5980,0
1530,5982,0
1531,5988,3
1532,5989,11
1533,5996,0
1534,5999,8
1535,6006,14
1536,6019,0
1537,6028,3
1538,6029,10
1539,6042,17
1540,6046,0
1541,6051,4
1542,6056,4
1543,6057,18
1544,6058,0
1545,6066,10
1546,6069,0
1547,6082,0
1548,6084,0
1549,6090,7
1550,6091,0
1551,6092,3
1552,6094,12
1553,6096,3
1554,6097,8
1555,6100,0
1556,6103,0
1557,6104,0
1558,6105,5
1559,6108,0
1560,6109,0
1561,6113,16
1562,6114,9
1563,6116,0
1564,6118,9
1565,6120,0
1566,6124,0
1567,6127,3
1568,6129,8
1569,6130,12
1570,6134,3
1571,6136,4
1572,6151,8
1573,6155,0
1574,6159,3
1575,6163,0
1576,6167,6
1577,6174,9
1578,6175,0
1579,6178,12
1580,6179,10
1581,6182,0
1582,6183,4
1583,6189,8
1584,6194,0
1585,6206,0
1586,6208,9
1587,6209,6
1588,6217,10
1589,6218,7
1590,6221,12
1591,6227,4
1592,6228,4
1593,6231,0
1594,6236,4
1595,6239,11
1596,6240,0
1597,6253,15
1598,6257,3
1599,6261,0
1600,6263,0
1601,6264,0
1602,6268,8
1603,6271,9
1604,6273,6
1605,6274,3
1606,6280,0
1607,6293,13
1608,6297,10
1609,6299,8
1610,6302,13
1611,6303,7
1612,6316,11
1613,6317,4
1614,6318,7
1615,6336,5
1616,6339,3
1617,6340,0
1618,6341,0
1619,6342,16
1620,6343,0
1621,6349,0
1622,6352,15
1623,6355,4
1624,6360,0
1625,6367,9
1626,6369,0
1627,6371,11
1628,6373,19
1629,6381,0
1630,6382,5
1631,6384,16
1632,6387,10
1633,6390,0
1634,6393,10
1635,6399,14
1636,6401,3
1637,6402,9
1638,6406,4
1639,6409,0
1640,6418,23
1641,6425,0
1642,6430,10
1643,6432,3
1644,6434,0
1645,6435,3
1646,6437,4
1647,6440,0
1648,6441,0
1649,6444,4
1650,6446,0
1651,6447,5
1652,6448,12
1653,6454,4
1654,6458,0
1655,6464,0
1656,6465,4
1657,6468,6
1658,6469,3
1659,6472,16
1660,6475,4
1661,6476,0
1662,6482,16
1663,6483,7
1664,6485,0
1665,6487,10
1666,6489,10
1667,6499,4
1668,6500,5
1669,6503,0
1670,6505,4
1671,6507,0
1672,6515,5
1673,6516,0
1674,6518,13
1675,6519,12
1676,6520,9
1677,6521,14
1678,6522,8
1679,6526,0
1680,6527,4
1681,6532,4
1682,6533,4
1683,6535,0
1684,6536,8
1685,6538,5
1686,6540,8
1687,6541,8
1688,6544,6
1689,6546,6
1690,6550,10
1691,6552,9
1692,6554,4
1693,6556,0
1694,6559,12
1695,6560,5
1696,6562,11
1697,6566,3
1698,6568,7
1699,6576,7
1700,6584,4
1701,6586,0
1702,6587,5
1703,6603,4
1704,6604,5
1705,6605,4
1706,6611,13
1707,6615,13
1708,6617,3
1709,6618,0
1710,6623,8
1711,6624,24
1712,6629,7
1713,6632,7
1714,6633,0
1715,6634,9
1716,6640,0
1717,6643,9
1718,6650,10
1719,6657,0
1720,6666,0
1721,6667,0
1722,6669,19
1723,6672,3
1724,6675,0
1725,6676,0
1726,6678,5
1727,6685,11
1728,6686,32
1729,6687,7
1730,6688,3
1731,6693,5
1732,6694,12
1733,6702,11
1734,6704,17
1735,6705,8
1736,6710,12
1737,6712,0
1738,6715,0
1739,6716,7
1740,6722,9
1741,6723,3
1742,6731,7
1743,6738,12
1744,6739,8
1745,6745,0
1746,6747,4
1747,6748,9
1748,6755,5
1749,6762,13
1750,6763,0
1751,6765,14
1752,6775,3
1753,6778,4
1754,6779,13
1755,6787,3
1756,6789,5
1757,6802,4
1758,6807,8
1759,6814,5
1760,6817,0
1761,6821,4
1762,6822,0
1763,6825,5
1764,6831,3
1765,6835,5
1766,6836,0
1767,6841,4
1768,6842,7
1769,6847,3
1770,6848,15
1771,6853,13
1772,6856,7
1773,6857,5
1774,6858,12
1775,6860,17
1776,6861,8
1777,6862,0
1778,6865,4
1779,6866,0
1780,6868,5
1781,6872,4
1782,6874,4
1783,6880,20
1784,6881,4
1785,6883,9
1786,6886,0
1787,6890,6
1788,6891,8
1789,6892,3
1790,6898,10
1791,6905,0
1792,6906,0
1793,6911,10
1794,6913,3
1795,6924,0
1796,6929,15
1797,6930,5
1798,6933,0
1799,6934,0
1800,6938,0
1801,6940,0
1802,6947,11
1803,6948,4
1804,6950,3
1805,6963,0
1806,6965,6
1807,6974,4
1808,6976,8
1809,6978,5
1810,6980,0
1811,6999,9
1812,7000,0
1813,7007,7
1814,7012,0
1815,7016,0
1816,7021,0
1817,7022,4
1818,7031,0
1819,7033,16
1820,7040,8
1821,7043,11
1822,7052,7
1823,7054,0
1824,7060,13
1825,7062,7
1826,7068,0
1827,7070,3
1828,7071,3
1829,7072,9
1830,7074,0
1831,7076,5
1832,7077,5
1833,7078,3
1834,7086,0
1835,7088,9
1836,7092,10
1837,7093,22
1838,7099,0
1839,7100,16
1840,7111,3
1841,7112,3
1842,7114,0
1843,7115,0
1844,7119,0
1845,7123,0
1846,7128,3
1847,7131,0
1848,7137,3
1849,7138,0
1850,7148,4
1851,7157,0
1852,7165,4
1853,7176,9
1854,7185,22
1855,7189,20
1856,7194,6
1857,7195,3
1858,7200,8
1859,7210,21
1860,7218,5
1861,7220,7
1862,7221,9
1863,7223,0
1864,7229,0
1865,7231,8
1866,7233,0
1867,7234,6
1868,7247,3
1869,7250,7
1870,7251,3
1871,7256,19
1872,7261,7
1873,7265,7
1874,7273,0
1875,7283,7
1876,7293,17
1877,7294,0
1878,7295,30
1879,7302,6
1880,7303,0
1881,7304,0
1882,7317,0
1883,7328,0
1884,7351,4
1885,7360,21
1886,7362,0
1887,7363,3
1888,7365,0
1889,7367,3
1890,7379,19
1891,7399,7
1892,7403,6
1893,7404,3
1894,7407,4
1895,7408,0
1896,7412,0
1897,7426,0
