,codcliente,numero_persone_diverse
1009,3912,29
1010,3917,14
1011,3922,21
1012,3942,0
1013,3943,26
1014,3946,0
1015,3947,11
1016,3950,0
1017,3951,9
1018,3953,30
1019,3961,6
1020,3969,0
1021,3983,34
1022,3991,0
1023,3996,19
1024,3998,20
1025,4003,0
1026,4013,0
1027,4026,25
1028,4032,23
1029,4033,34
1030,4037,9
1031,4040,1
1032,4041,5
1033,4042,23
1034,4045,23
1035,4047,26
1036,4048,21
1037,4057,14
1038,4058,20
1039,4061,0
1040,4062,21
1041,4065,30
1042,4070,29
1043,4071,17
1044,4072,27
1045,4077,13
1046,4079,34
1047,4082,26
1048,4083,12
1049,4086,3
1050,4087,21
1051,4089,11
1052,4091,7
1053,4092,0
1054,4094,30
1055,4104,22
1056,4108,0
1057,4114,0
1058,4116,3
1059,4119,20
1060,4125,0
1061,4127,0
1062,4130,34
1063,4139,15
1064,4141,27
1065,4143,15
1066,4145,27
1067,4148,28
1068,4152,17
1069,4163,20
1070,4165,19
1071,4170,0
1072,4177,32
1073,4178,0
1074,4181,0
1075,4182,9
1076,4184,12
1077,4185,16
1078,4187,17
1079,4188,30
1080,4189,31
1081,4193,32
1082,4200,16
1083,4204,8
1084,4207,25
1085,4208,16
1086,4209,3
1087,4215,30
1088,4218,0
1089,4231,34
1090,4236,33
1091,4245,24
1092,4247,15
1093,4251,24
1094,4253,12
1095,4257,7
1096,4260,10
1097,4262,0
1098,4264,23
1099,4265,0
1100,4266,0
1101,4269,0
1102,4271,0
1103,4272,0
1104,4273,9
1105,4274,21
1106,4275,18
1107,4278,0
1108,4279,11
1109,4286,14
1110,4287,34
1111,4288,0
1112,4292,0
1113,4294,0
1114,4305,25
1115,4310,13
1116,4312,23
1117,4317,0
1118,4320,23
1119,4329,0
1120,4334,0
1121,4335,16
1122,4340,11
1123,4341,9
1124,4345,15
1125,4346,27
1126,4347,24
1127,4348,14
1128,4350,18
1129,4351,19
1130,4352,32
1131,4355,18
1132,4356,0
1133,4359,33
1134,4364,8
1135,4365,1
1136,4366,3
1137,4368,0
1138,4369,9
1139,4378,18
1140,4379,32
1141,4380,10
1142,4381,6
1143,4405,0
1144,4408,21
1145,4409,20
1146,4417,18
1147,4418,18
1148,4422,0
1149,4430,0
1150,4432,10
1151,4434,0
1152,4441,5
1153,4446,22
1154,4459,12
1155,4463,0
1156,4465,18
1157,4469,3
1158,4470,4
1159,4471,0
1160,4480,0
1161,4484,14
1162,4500,11
1163,4503,23
1164,4507,28
1165,4508,21
1166,4513,0
1167,4519,27
1168,4524,12
1169,4526,20
1170,4527,14
1171,4528,0
1172,4536,25
1173,4539,24
1174,4545,24
1175,4546,0
1176,4547,0
1177,4552,0
1178,4553,11
1179,4554,30
1180,4556,0
1181,4569,0
1182,4577,6
1183,4582,0
1184,4583,28
1185,4584,33
1186,4592,27
1187,4597,30
1188,4600,23
1189,4602,33
1190,4615,29
1191,4623,4
1192,4625,7
1193,4626,4
1194,4628,18
1195,4636,3
1196,4641,35
1197,4645,10
1198,4652,1
1199,4653,19
1200,4661,33
1201,4665,35
1202,4667,8
1203,4671,10
1204,4672,17
1205,4675,2
1206,4676,0
1207,4678,21
1208,4680,0
1209,4681,0
1210,4686,29
1211,4688,26
1212,4691,9
1213,4695,17
1214,4697,5
1215,4702,21
1216,4707,0
1217,4708,15
1218,4710,13
1219,4713,6
1220,4716,7
1221,4719,11
1222,4721,6
1223,4744,17
1224,4755,35
1225,4757,9
1226,4761,30
1227,4769,15
1228,4773,4
1229,4790,24
1230,4798,31
1231,4806,0
1232,4808,0
1233,4809,21
1234,4813,12
1235,4824,0
1236,4828,0
1237,4840,32
1238,4844,21
1239,4850,8
1240,4856,0
1241,4859,0
1242,4868,0
1243,4870,4
1244,4872,9
1245,4873,4
1246,4874,0
1247,4879,8
1248,4881,15
1249,4886,30
1250,4893,21
1251,4896,13
1252,4908,20
1253,4910,35
1254,4911,0
1255,4912,13
1256,4916,2
1257,4917,0
1258,4918,30
1259,4920,0
1260,4928,29
1261,4929,27
1262,4930,18
1263,4931,31
1264,4932,35
1265,4933,30
1266,4935,8
1267,4941,13
1268,4943,24
1269,4945,0
1270,4947,0
1271,4951,34
1272,4963,23
1273,4964,10
1274,4966,5
1275,4967,0
1276,4969,30
1277,4971,1
1278,4973,0
1279,4987,26
1280,4995,26
1281,4998,0
1282,5007,0
1283,5008,22
1284,5014,0
1285,5026,35
1286,5027,0
1287,5030,6
1288,5037,5
1289,5038,14
1290,5039,7
1291,5044,17
1292,5047,17
1293,5051,3
1294,5071,29
1295,5084,35
1296,5097,0
1297,5099,0
1298,5102,28
1299,5103,5
1300,5106,15
1301,5113,2
1302,5117,0
1303,5121,34
1304,5122,35
1305,5124,0
1306,5127,12
1307,5136,0
1308,5137,34
1309,5138,0
1310,5140,29
1311,5147,23
1312,5149,9
1313,5152,29
1314,5155,33
1315,5158,15
1316,5159,6
1317,5160,29
1318,5163,2
1319,5165,32
1320,5167,24
1321,5171,25
1322,5178,8
1323,5179,27
1324,5181,0
1325,5183,26
1326,5186,6
1327,5190,2
1328,5199,0
1329,5200,20
1330,5206,0
1331,5207,35
1332,5209,19
1333,5218,20
1334,5228,14
1335,5234,27
1336,5242,6
1337,5244,35
1338,5247,21
1339,5255,29
1340,5259,13
1341,5261,0
1342,5262,22
1343,5264,19
1344,5279,4
1345,5280,0
1346,5282,6
1347,5287,0
1348,5289,34
1349,5290,0
1350,5291,23
1351,5292,3
1352,5295,0
1353,5297,27
1354,5305,0
1355,5314,27
1356,5315,0
1357,5319,27
1358,5320,12
1359,5321,5
1360,5323,8
1361,5328,6
1362,5330,32
1363,5332,15
1364,5334,32
1365,5338,33
1366,5339,22
1367,5341,0
1368,5342,24
1369,5345,30
1370,5346,0
1371,5354,7
1372,5357,0
1373,5359,30
1374,5368,28
1375,5370,21
1376,5373,0
1377,5375,0
1378,5377,9
1379,5379,12
1380,5383,5
1381,5387,27
1382,5398,0
1383,5402,12
1384,5404,0
1385,5409,0
1386,5411,7
1387,5412,22
1388,5414,23
1389,5416,34
1390,5423,0
1391,5426,27
1392,5443,33
1393,5445,0
1394,5451,0
1395,5454,23
1396,5461,4
1397,5464,30
1398,5471,7
1399,5472,0
1400,5473,29
1401,5475,0
1402,5478,1
1403,5481,22
1404,5482,14
1405,5483,25
1406,5487,22
1407,5489,23
1408,5491,6
1409,5494,0
1410,5498,13
1411,5503,33
1412,5509,15
1413,5514,32
1414,5517,6
1415,5523,32
1416,5525,0
1417,5528,0
1418,5530,20
1419,5534,13
1420,5538,26
1421,5542,9
1422,5556,0
1423,5557,0
1424,5559,9
1425,5568,5
1426,5570,2
1427,5571,0
1428,5573,27
1429,5574,0
1430,5575,10
1431,5579,0
1432,5582,0
1433,5584,0
1434,5592,21
1435,5594,0
1436,5608,30
1437,5610,11
1438,5611,8
1439,5615,0
1440,5616,19
1441,5617,4
1442,5618,16
1443,5619,24
1444,5622,6
1445,5628,0
1446,5631,34
1447,5634,1
1448,5640,3
1449,5641,34
1450,5642,11
1451,5652,4
