,codcliente,index
1324,5181,0
1325,5183,9.43
1326,5186,3.25
1327,5190,1.75
1328,5199,0
1329,5200,9.33
1330,5206,0
1331,5207,5.09
1332,5209,5
1333,5218,4
1334,5228,4.6
1335,5234,8.25
1336,5242,3.67
1337,5244,6.57
1338,5247,5.17
1339,5255,7
1340,5259,4
1341,5261,0
1342,5262,4
1343,5264,6.25
1344,5279,3
1345,5280,0
1346,5282,3
1347,5287,0
1348,5289,6.57
1349,5290,0
1350,5291,7.83
1351,5292,3
1352,5295,0
1353,5297,5.77
1354,5305,0
1355,5314,9.71
1356,5315,0
1357,5319,3.77
1358,5320,5.22
1359,5321,2.25
1360,5323,2.67
1361,5328,3
1362,5330,17
1363,5332,5
1364,5334,7.55
1365,5338,3.21
1366,5339,5.17
1367,5341,0
1368,5342,8
1369,5345,5.71
1370,5346,0
1371,5354,3.2
1372,5357,0
1373,5359,5.75
1374,5368,4.83
1375,5370,5.76
1376,5373,0
1377,5375,0
1378,5377,4
1379,5379,8.33
1380,5383,2.82
1381,5387,9.83
1382,5398,0
1383,5402,5.67
1384,5404,0
1385,5409,0
1386,5411,4
1387,5412,6.14
1388,5414,5.67
1389,5416,5.77
1390,5423,0
1391,5426,11
1392,5443,5.89
1393,5445,0
1394,5451,0
1395,5454,6.33
1396,5461,3
1397,5464,14.62
1398,5471,3.6
1399,5472,0
1400,5473,4.8
1401,5475,0
1402,5478,2
1403,5481,5.8
1404,5482,3.27
1405,5483,3.79
1406,5487,4.23
1407,5489,11.67
1408,5491,2.8
1409,5494,0
1410,5498,5
1411,5503,9.4
1412,5509,7.43
1413,5514,5.17
1414,5517,2.5
1415,5523,6.57
1416,5525,0
1417,5528,0
1418,5530,6.5
1419,5534,4.11
1420,5538,3.77
1421,5542,4
1422,5556,0
1423,5557,0
1424,5559,2.8
1425,5568,3.25
1426,5570,1
1427,5571,0
1428,5573,6.67
1429,5574,0
1430,5575,5
1431,5579,0
1432,5582,0
1433,5584,0
1434,5592,8
1435,5594,0
1436,5608,5.29
1437,5610,5.33
1438,5611,3.6
1439,5615,0
1440,5616,6.33
1441,5617,2.3
1442,5618,5.11
1443,5619,10.8
1444,5622,4.67
1445,5628,0
1446,5631,4.73
1447,5634,2
1448,5640,2.25
1449,5641,17.33
1450,5642,5
1451,5652,2.6
1452,5655,9
1453,5664,6
1454,5666,0
1455,5671,13.17
1456,5676,4.67
1457,5677,7.6
1458,5680,3
1459,5683,2.5
1460,5707,2.4
1461,5711,2.57
1462,5718,11.43
1463,5722,0
1464,5726,2.64
1465,5729,5.5
1466,5735,4
1467,5736,4.25
1468,5738,0
1469,5740,4
1470,5741,0
1471,5744,0
1472,5745,6.33
1473,5750,0
1474,5752,6
1475,5753,3.15
1476,5754,0
1477,5755,2.86
1478,5763,2.39
1479,5780,0
1480,5783,4
1481,5788,4.54
1482,5790,4.33
1483,5798,15.29
1484,5802,0
1485,5807,0
1486,5808,3.2
1487,5809,14.4
1488,5812,4.38
1489,5815,4.5
1490,5816,0
1491,5818,5.67
1492,5822,5.2
1493,5828,0
1494,5832,4.85
1495,5833,3.62
1496,5836,8.09
1497,5845,2.4
1498,5850,0
1499,5851,0
1500,5852,5
1501,5861,8.5
1502,5865,5.67
1503,5873,2.75
1504,5874,5
1505,5877,3.5
1506,5882,3.67
1507,5887,4.35
1508,5890,3.25
1509,5892,2.86
1510,5894,3.67
1511,5899,4.22
1512,5902,0
1513,5903,11.75
1514,5915,6.6
1515,5919,0
1516,5924,2
1517,5937,9.17
1518,5938,3.6
1519,5947,3.12
1520,5948,0
1521,5950,0
1522,5952,3.25
1523,5958,5.5
1524,5964,6.33
1525,5967,8.71
1526,5970,10.75
1527,5975,2
1528,5977,2.57
1529,5980,0
1530,5982,0
1531,5988,1
1532,5989,4.91
1533,5996,0
1534,5999,6.62
1535,6006,2.64
1536,6019,0
1537,6028,1
1538,6029,4.7
1539,6042,5.47
1540,6046,0
1541,6051,3
1542,6056,7.75
1543,6057,4.5
1544,6058,0
1545,6066,3.4
1546,6069,0
1547,6082,0
1548,6084,0
1549,6090,13.14
1550,6091,0
1551,6092,6.67
1552,6094,4.83
1553,6096,6.33
1554,6097,11.88
1555,6100,0
1556,6103,0
1557,6104,0
1558,6105,6.6
1559,6108,0
1560,6109,0
1561,6113,4.5
1562,6114,4.22
1563,6116,0
1564,6118,7.33
1565,6120,0
1566,6124,0
1567,6127,4.67
1568,6129,10.5
1569,6130,5.75
1570,6134,2
1571,6136,5.25
1572,6151,3.25
1573,6155,0
1574,6159,5.67
1575,6163,0
1576,6167,6
1577,6174,5.22
1578,6175,0
1579,6178,3.83
1580,6179,7
1581,6182,0
1582,6183,5.25
1583,6189,8.62
1584,6194,0
1585,6206,0
1586,6208,3.44
1587,6209,5.67
1588,6217,6.5
1589,6218,3
1590,6221,7.67
1591,6227,7
1592,6228,8.75
1593,6231,0
1594,6236,3
1595,6239,4.82
1596,6240,0
1597,6253,2.87
1598,6257,4.33
1599,6261,0
1600,6263,0
1601,6264,0
1602,6268,3.5
1603,6271,7.11
1604,6273,6.17
1605,6274,3
1606,6280,0
1607,6293,3
1608,6297,4
1609,6299,8
1610,6302,6.31
1611,6303,4.57
1612,6316,3.64
1613,6317,3
1614,6318,2.14
1615,6336,9
1616,6339,3.33
1617,6340,0
1618,6341,0
1619,6342,4.06
1620,6343,0
1621,6349,0
1622,6352,5.13
1623,6355,3.5
1624,6360,0
1625,6367,4.89
1626,6369,0
1627,6371,4.36
1628,6373,4.26
1629,6381,0
1630,6382,4.6
1631,6384,4.38
1632,6387,4.9
1633,6390,0
1634,6393,2.7
1635,6399,4.64
1636,6401,3
1637,6402,4.78
1638,6406,3
1639,6409,0
1640,6418,9.13
1641,6425,0
1642,6430,3.4
1643,6432,4
1644,6434,0
1645,6435,6.67
1646,6437,3.75
1647,6440,0
1648,6441,0
1649,6444,5.75
1650,6446,0
1651,6447,15.8
1652,6448,3.25
1653,6454,4.5
1654,6458,0
